,Press,Url,Title,Date,Body,Weekday
0,조선일보,https://n.news.naver.com/mnews/article/023/0003793676,의사 찾아 상경진료 年 71만명...병원 옆엔 ‘환자촌’이 생겼다,2023-10-17,,화
1,조선일보,https://n.news.naver.com/mnews/article/023/0003793677,"천안함 유족 윤청자씨 “정부·여당, 국민 설득 않고 매사 통보·명령”",2023-10-17,,화
2,조선일보,https://n.news.naver.com/mnews/article/023/0003793713,[단독] 中 일대일로 포럼에 해양부 장관 파견,2023-10-17,,화
3,조선일보,https://n.news.naver.com/mnews/article/023/0003793612,새 헌재소장 이종석 유력... 尹대통령 18일 지명할 듯,2023-10-17,,화
4,조선일보,https://n.news.naver.com/mnews/article/023/0003793679,한국에 한방 먹은 기시다...이스라엘 탈출료 3만엔 받아 시끌,2023-10-17,,화
5,조선일보,https://n.news.naver.com/mnews/article/023/0003793684,성형·피부과 쏠림 있더라도… 의사 늘려야 필수의료까지 낙수효과,2023-10-17,,화
6,조선일보,https://n.news.naver.com/mnews/article/023/0003793680,당뇨·디스크·암… 지방에 의사 없어 매주 7시간 차 몰고 서울 왕복,2023-10-17,,화
7,조선일보,https://n.news.naver.com/mnews/article/023/0003793682,수도권 분원 늘리는 대형병원들… “지방의료 블랙홀”,2023-10-17,,화
8,조선일보,https://n.news.naver.com/mnews/article/023/0003793681,인구 1000명당 의사 수… 서울 3.4명 충북 1.5명 경북 1.3명,2023-10-17,,화
9,조선일보,https://n.news.naver.com/mnews/article/023/0003793683,"의료계 “정원 늘면 교수 부족, 의대 수준도 저하”",2023-10-17,,화
10,조선일보,https://n.news.naver.com/mnews/article/023/0003793685,의협 오늘 긴급회의… 일부 의사는 파업까지 언급,2023-10-17,,화
11,조선일보,https://n.news.naver.com/mnews/article/023/0003793688,"핵투하 가능 美 폭격기, 이번주 국내 첫 착륙...한미일 첫 공중 훈련도 추진",2023-10-17,,화
12,조선일보,https://n.news.naver.com/mnews/article/023/0003793687,與 TK 사무총장 임명에… “고육지책” “황당하다” 시끌,2023-10-17,,화
13,조선일보,https://n.news.naver.com/mnews/article/023/0003793689,"尹, 참모들에 “국민·현장·당정 소통 강화하라”",2023-10-17,,화
14,조선일보,https://n.news.naver.com/mnews/article/023/0003793690,北 “러시아 외무장관 18~19일 방북”,2023-10-17,,화
15,조선일보,https://n.news.naver.com/mnews/article/023/0003793691,"윤재옥 “민심 보고 나도 놀라… 체질 개선 이제 시작, 더 바뀔 것”",2023-10-17,,화
16,조선일보,https://n.news.naver.com/mnews/article/023/0003793606,터너 美 북한인권 특사 “中에 탈북민 강제송환 그만두라고 요청”,2023-10-17,,화
17,조선일보,https://n.news.naver.com/mnews/article/023/0003793692,전쟁 나자 이스라엘 달려간 월가 CEO… “몇 시간만에 50만달러 모금”,2023-10-17,,화
18,조선일보,https://n.news.naver.com/mnews/article/023/0003793694,"바이든 “이스라엘, 가자지구 점령 땐 큰 실수”",2023-10-17,,화
19,조선일보,https://n.news.naver.com/mnews/article/023/0003793695,두차례 지상전서 성과 못낸 이스라엘,2023-10-17,,화
